system:index,area_km2,length_km,site_no,sum,.geo
0,0.062649114,0.208743529,nicaragua_somotillo_agm_region_1,2.319372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.070615043,0.401230588,nicaragua_somotillo_agm_region_2,4.458117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.015608052,0.352828235,nicaragua_somotillo_agm_region_3,3.920313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.007473612,0,nicaragua_somotillo_agm_region_4,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.258196632,10.77971294,peru_rio_inambari_channel_agm_region_1,119.7745882,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.58734702,5.347210588,peru_rio_inambari_channel_agm_region_2,59.41345098,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.255551653,3.009878824,peru_rio_inambari_channel_agm_region_3,33.44309804,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.624622982,9.739934118,peru_rio_inambari_channel_agm_region_4,108.2214902,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.166016358,1.786355294,peru_rio_quimiri_downstream_2,19.84839216,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.118878993,2.818732941,peru_rio_quimiri_downstream_1,31.3192549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.647942498,4.394357647,peru_rio_quimiri_downstream_3,48.82619608,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,0.533918588,6.555441176,peru_rio_quimiri_downstream_4,72.83823529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.461379215,3.678391765,peru_rio_quimiri_downstream_5,40.87101961,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.03718572,1.290635294,peru_rio_quimiri_downstream_6,14.34039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,0.19505842,2.635658824,peru_rio_quimiri_downstream_7,29.28509804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,0.054883322,1.272832941,peru_rio_quimiri_downstream_8,14.14258824,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.390448856,2.974461176,peru_rio_quimiri_downstream_9,33.04956863,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.608716021,73.82056941,russia_koryak_plateau_1,820.228549,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.25205692,34.01149765,russia_koryak_plateau_2,377.9055294,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.499111706,47.79326824,russia_koryak_plateau_3,531.0363137,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.104143152,1.063877647,mozambique_manica_TSTM_1,11.82086275,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.136908034,1.535657647,mozambique_manica_TSTM_2,17.06286275,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.167272747,2.874211765,mozambique_manica_TSTM_3,31.93568627,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.808129229,6.025302353,mozambique_manica_TSTM_4,66.94780392,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.132711354,1.756083529,mozambique_manica_TSTM_5,19.51203922,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.476903558,4.156528235,mozambique_manica_TSTM_6,46.18364706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,0.031301659,0.73206,mozambique_manica_TSTM_7,8.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,0.033920959,0.611435294,mozambique_manica_TSTM_8,6.79372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,0.072085494,1.115883529,mozambique_manica_TSTM_9,12.39870588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,0.068063428,0.86946,mozambique_manica_TSTM_10,9.660666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,0.055411141,0.598542353,mozambique_manica_TSTM_11,6.650470588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,0.354607756,2.115628235,french_guiana_deux_branches_agm_region_TSTM_1,23.50698039,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.571989608,3.690303529,french_guiana_deux_branches_agm_region_TSTM_2,41.00337255,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.123249426,4.996274118,french_guiana_deux_branches_agm_region_TSTM_3,55.51415686,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.251904603,2.444262353,french_guiana_deux_branches_agm_region_TSTM_4,27.15847059,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.116621051,1.282782353,french_guiana_deux_branches_agm_region_TSTM_5,14.25313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.062829183,0.857287059,french_guiana_deux_branches_agm_region_TSTM_6,9.525411765,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.010940527,0.283898824,french_guiana_deux_branches_agm_region_TSTM_7,3.154431373,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.126600392,1.836049412,french_guiana_deux_branches_agm_region_TSTM_8,20.40054902,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1.685011161,7.896832941,french_guiana_deux_branches_agm_region_TSTM_9,87.74258824,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1.255094157,10.36300235,cameroon_kadei_river_batouri_agm_region_1,115.1444706,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.103990233,1.796470588,cameroon_kadei_river_batouri_agm_region_2,19.96078431,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,0.05870556,1.061918824,cameroon_kadei_river_batouri_agm_region_3,11.79909804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,0.130434113,0.998904706,cameroon_kadei_river_batouri_agm_region_4,11.09894118,"{""type"":""MultiPoint"",""coordinates"":[]}"
