system:index,BAS_NAME,COUNTRY,site_no,.geo
0_00000000000000000000_004600000000000022b5,Sitang,Myanmar,myanmar_sittang_gold,"{""type"":""LineString"",""coordinates"":[[96.92500033856734,17.912498773260566],[96.9187486788904,17.918750432937493],[96.9187486788904,17.922915233321415]]}"
0_00000000000000000001_00460000000000001709,,Myanmar,myanmar_sittang_gold_east,"{""type"":""LineString"",""coordinates"":[[97.23333379910996,17.50416551249337],[97.2395854587869,17.5104171721703],[97.24375025917082,17.5104171721703]]}"
0_00000000000000000002_005c0000000000000777,Irrawaddy,Myanmar,myanmar_irrawaddy_gold_upper,"{""type"":""LineString"",""coordinates"":[[96.0770844368504,26.28541524873064],[96.0770844368504,26.28125044834672]]}"
0_00000000000000000003_005c0000000000004ed1,Irrawaddy,Myanmar,myanmar_uyu_gold_northcentral,"{""type"":""LineString"",""coordinates"":[[95.82916733648092,25.395833506770295],[95.82291567680397,25.389581847093357],[95.82291567680397,25.385417046709446],[95.81875087642005,25.381247787224474],[95.81875087642005,25.36874892697167],[95.8145816169351,25.364584126587744],[95.8145816169351,25.356250066718854]]}"
0_00000000000000000004_004500000000000017ba,Irrawaddy,Myanmar,myanmar_chindwin_gold_lower,"{""type"":""LineString"",""coordinates"":[[94.78958143508265,22.543747881975776],[94.7937506945676,22.539583081591857]]}"
0_00000000000000000005_005c0000000000005e55,Irrawaddy,Myanmar,myanmar_irrawaddy_kalat_agm_region,"{""type"":""LineString"",""coordinates"":[[96.02083287706117,23.793749843884044],[96.0395833969909,23.793749843884044],[96.0395833969909,23.79791464426797],[96.04374819737482,23.80208390375294],[96.0479174568598,23.802083903752937],[96.05208225724373,23.806248704136856]]}"
0_00000000000000000006_005c0000000000005c2f,Irrawaddy,Myanmar,myanmar_irrawaddy_tonpin_agm_region,"{""type"":""LineString"",""coordinates"":[[95.93124953689743,24.141666744478112],[95.93124953689743,24.14791840415504],[95.92291547702855,24.156248004922872],[95.92291547702855,24.160417264407855]]}"
0_00000000000000000007_005c0000000000000b90,Irrawaddy,Myanmar,myanmar_lalawng_ga_agm_region,"{""type"":""LineString"",""coordinates"":[[96.46041551801092,26.46875118854306],[96.45208145814205,26.47708524841196],[96.45208145814205,26.485414849179794]]}"
0_00000000000000000008_005c0000000000004b51,Irrawaddy,Myanmar,myanmar_shin_bway_yang_agm_region,"{""type"":""LineString"",""coordinates"":[[96.18124903745888,26.647917868870532],[96.18541829694387,26.652082669254437],[96.18958309732777,26.647917868870532],[96.1937478977117,26.647917868870532],[96.20625121706556,26.660416729123337]]}"
0_00000000000000000009_005c0000000000000755,Irrawaddy,Myanmar,myanmar_chaumawng_ga_agm_region,"{""type"":""LineString"",""coordinates"":[[96.30416861709818,26.32291628859012],[96.29375215703733,26.32291628859012],[96.28958289755235,26.327085548075097],[96.27708403729955,26.314582228721225],[96.27708403729955,26.31041742833731],[96.27291477781458,26.31041742833731]]}"
