system:index,country,river_km,.geo
0,Brazil,144203.81700000205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Mali,5065.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Ghana,2589.7960000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Guinea,2216.9950000000013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Burkina Faso,764.8449999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Mauritania,612.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Senegal,1975.9770000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Gambia,574.0850000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Guinea-Bissau,591.7659999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Liberia,1147.7820000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Sierra Leone,1031.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Côte d'Ivoire,2200.8790000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Togo,316.819,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Benin,321.65800000000013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Nigeria,6674.132000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Cameroon,5496.9090000000115,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Gabon,3937.1140000000087,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Equatorial Guinea,363.71399999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Republic of Congo,4583.0160000000105,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Central African Republic,4362.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Democratic Republic of the Congo,32385.343999999586,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Chad,2972.5640000000026,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Niger,999.1500000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Egypt,524.9919999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Sudan,4157.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Saudi Arabia,69.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Yemen,99.31400000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Somalia,787.8860000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Djibouti,6.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Ethiopia,3532.5460000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Eritrea,10.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,South Sudan,3694.8940000000066,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Uganda,2557.790000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Kenya,2014.582999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Malawi,1336.8770000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Tanzania,5752.913000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Mozambique,6048.754999999987,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,Madagascar,10696.901999999951,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,Zambia,8098.349999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,Zimbabwe,3540.1370000000047,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,Angola,12035.260999999979,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,Namibia,846.6570000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,Botswana,572.1959999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,Rwanda,272.23800000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,Burundi,169.557,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,South Africa,232.38100000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,Australia,16209.920999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,Indonesia,28813.6019999991,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,East Timor,3.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,Myanmar,9411.606999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,Thailand,9329.13900000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,Bangladesh,997.7760000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,India,24287.470999999823,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,Malaysia,6331.535000000059,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,Laos,4948.920000000013,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,China,5519.656999999992,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,Vietnam,7187.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,Cambodia,3171.439000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,Brunei,98.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,Philippines,2315.4260000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,Taiwan,104.84899999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,Sri Lanka,656.3569999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,Oman,37.192,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,Papua New Guinea,8069.591000000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,Fiji,106.20499999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,Mexico,8973.736999999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,Guatemala,1047.1639999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,Cuba,567.8110000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,Suriname,3168.377000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,Venezuela,15235.16000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,French Guiana,1354.220999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,Guyana,4078.700000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,Colombia,26344.760999999195,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,Ecuador,5524.476000000071,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,Panama,591.5989999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,Haiti,176.39000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,Honduras,1783.9159999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,Nicaragua,2153.866999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,Costa Rica,534.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,Dominican Republic,149.396,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,Belize,198.99800000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,El Salvador,290.98300000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,Peru,25575.93499999889,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,Chile,287.53200000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,Bolivia,13545.946999999907,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,Argentina,234.82199999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,Paraguay,1607.4570000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
