system:index,country,river_km,.geo
0,Mali,5065.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Guinea,2216.9950000000013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Mauritania,612.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Senegal,1975.9770000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Liberia,1147.7820000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Sierra Leone,1031.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Côte d'Ivoire,2200.8790000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Ghana,2589.7960000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Nigeria,6674.132000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Cameroon,5496.9090000000115,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Republic of Congo,4583.0160000000105,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Central African Republic,4362.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Democratic Republic of the Congo,32385.343999999586,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Tanzania,5752.913000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Mozambique,7383.8139999999885,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Angola,12035.260999999979,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Madagascar,11345.331999999935,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Indonesia,28813.6019999991,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Myanmar,13265.442999999928,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Laos,4948.920000000013,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Cambodia,3171.439000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Philippines,2315.4260000000017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Kyrgyzstan,3046.2659999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Russia,364653.8319999968,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Mongolia,11096.50299999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Suriname,3168.377000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,French Guiana,1354.220999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Brazil,157490.10400000212,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Guyana,4078.700000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Venezuela,15235.16000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Ecuador,5524.476000000071,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Colombia,26344.760999999195,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Honduras,1783.9159999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Peru,25575.93499999889,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Bolivia,13545.946999999907,"{""type"":""MultiPoint"",""coordinates"":[]}"
